"ward" "shift" "year" "month" "cr" "tot" "X" "Y"
"275" 1 "DAY" 2016 6 "BURGLARY" 1 -77.03585745 38.92787137
"276" 5 "DAY" 2016 6 "THEFT F/AUTO" 1 -76.98607453 38.90865226
"277" 6 "EVENING" 2016 6 "MOTOR VEHICLE THEFT" 1 -77.01893319 38.90604814
"278" 3 "EVENING" 2016 6 "THEFT/OTHER" 1 -77.05549959 38.930368
"279" 2 "EVENING" 2016 6 "MOTOR VEHICLE THEFT" 1 -77.02598918 38.90644316
"280" 4 "EVENING" 2016 6 "THEFT/OTHER" 1 -77.0279594 38.96197889
"281" 8 "EVENING" 2016 6 "THEFT F/AUTO" 1 -76.98894108 38.86218733
"282" 6 "EVENING" 2016 6 "THEFT/OTHER" 1 -76.9824679 38.89997673
"283" 4 "EVENING" 2016 6 "THEFT/OTHER" 1 -77.02861968 38.93974631
"284" 6 "EVENING" 2016 6 "THEFT/OTHER" 1 -77.00589369 38.90604953
"285" 2 "EVENING" 2016 6 "THEFT F/AUTO" 1 -77.03955816 38.90475479
"286" 3 "EVENING" 2016 6 "THEFT/OTHER" 1 -77.05549959 38.930368
"287" 1 "EVENING" 2016 6 "THEFT F/AUTO" 1 -77.03541782 38.92506091
"288" 6 "EVENING" 2016 6 "THEFT F/AUTO" 1 -77.02294593 38.90790315
"289" 6 "EVENING" 2016 6 "THEFT/OTHER" 1 -77.01991438 38.91039
"290" 5 "EVENING" 2016 6 "THEFT/OTHER" 1 -76.99791497 38.9242465
"291" 1 "EVENING" 2016 6 "ROBBERY" 1 -77.02809081 38.91483844
"292" 7 "DAY" 2016 6 "THEFT/OTHER" 1 -76.940898 38.89906226
"293" 7 "DAY" 2016 6 "ROBBERY" 1 -76.96253659 38.87626198
"294" 2 "EVENING" 2016 6 "THEFT/OTHER" 1 -77.06817249 38.91622723
"295" 6 "EVENING" 2016 6 "THEFT F/AUTO" 1 -76.99898807 38.88127666
"296" 7 "DAY" 2016 6 "THEFT/OTHER" 1 -76.94962797 38.89448109
"297" 2 "DAY" 2016 6 "THEFT F/AUTO" 1 -77.02598795 38.90305601
"298" 1 "DAY" 2016 6 "THEFT/OTHER" 1 -77.03526657 38.92237647
"299" 1 "EVENING" 2016 6 "THEFT F/AUTO" 1 -77.03080082 38.91557645
